invoeden_EURMWh,afnemen_EURMWh,imbalance_demand,imbalance_supply
34.85,58.01,0,-10210
38.85,38.85,24864,0
42.85,42.85,7261,0
39.03,39.03,4691,0
42.85,42.85,29896,0
38.85,38.85,18217,0
38.85,38.85,31475,0
25.39,25.39,60835,0
58.61,58.61,0,-5166
45.56,45.56,17421,0
34.85,34.85,40652,0
30.95,30.95,50394,0
43.31,43.31,9619,0
43.32,43.32,28540,0
34.85,34.85,35877,0
38.85,38.85,48821,0
37.27,37.27,47206,0
38.77,38.77,56653,0
24.03,24.03,71687,0
22.2,22.2,91185,0
39.03,39.03,39829,0
17.03,17.03,78765,0
30.25,30.25,63547,0
19.85,19.85,70830,0
44.3,44.3,14524,0
32.97,32.97,48053,0
37.03,37.03,38880,0
35.32,35.32,30872,0
36.97,36.97,35019,0
27.03,27.03,37401,0
30.08,30.08,22585,0
36.26,36.26,18071,0
-68.55,-68.55,61201,0
15.33,15.33,74446,0
21.6,21.6,66786,0
15.77,15.77,60460,0
48.98,48.98,1271,0
46.51,46.51,0,-2208
57.06,57.06,0,-38347
157.02,157.02,0,-150216
167.6,167.6,0,-121183
363.63,363.63,0,-78650
93.22,93.22,0,-61333
167.6,167.6,0,-114609
119.17,119.17,0,-108401
262.62,262.62,0,-86615
262.62,262.62,0,-67259
110.02,110.02,0,-76675
123.17,123.17,0,-10138
62.86,62.86,0,-32348
78.27,78.27,0,-44395
57.06,57.06,0,-33245
17.97,17.97,34559,0
40.97,47.38,4058,0
40.03,40.03,19582,0
41.3,41.3,21505,0
40.97,40.97,30938,0
40.97,40.97,17277,0
40.97,46.53,23753,0
40.03,40.03,26195,0
46.53,62.48,0,-13775
40.97,40.97,19775,0
44.61,44.61,20442,0
40.67,40.67,28369,0
-44.72,-44.72,89973,0
12.73,12.73,80091,0
32.27,32.27,42000,0
40.81,40.81,23670,0
-82.31,-82.31,89108,0
44.83,49.61,0,-7462
47.02,47.02,5497,0
40.97,40.97,9364,0
46.29,46.29,5434,0
40.97,40.97,15125,0
36.97,36.97,35027,0
44.97,44.97,17543,0
51.83,51.83,0,-30144
47.71,47.71,0,-9439
46.45,51.28,0,-5387
14.3,14.3,57027,0
40.78,156.02,0,-60038
43.94,43.94,0,-7554
36.97,36.97,15279,0
40.97,46.59,15671,0
15.22,15.22,74818,0
18.18,18.18,70139,0
19.07,19.07,76300,0
38.66,38.66,38654,0
36.97,46.52,16052,0
43.86,46.53,12758,0
10.14,10.14,61575,0
26.14,26.14,60124,0
43.47,43.47,10513,0
44.05,47.9,0,-12142
44.97,44.97,0,-6854
40.97,44.97,1065,0
-99.33,84.26,30468,0
-8.68,-8.68,49169,0
-14.58,-14.58,46796,0
40.78,40.78,42959,0
27.9,27.9,56102,0
28.51,28.51,34774,0
28.82,28.82,47904,0
32.9,32.9,69660,0
32.78,32.78,35918,0
46.13,46.13,8815,0
37.78,37.78,24068,0
40.78,40.78,32358,0
36.97,36.97,26804,0
40.97,40.97,24602,0
40.97,40.97,15276,0
33.34,33.34,21323,0
22.36,22.36,43061,0
37.78,47.82,6794,0
56.12,56.12,0,-20493
47.82,47.82,0,-7245
39.48,39.48,25445,0
37.78,37.78,20709,0
52.97,52.97,0,-15510
61.7,61.7,0,-47936
30.32,30.32,66231,0
45.82,45.82,12789,0
68.17,68.17,0,-48976
-21.88,-21.88,44690,0
10.89,10.89,46123,0
18.17,18.17,63848,0
50.49,50.49,7809,0
48.23,48.23,0,-17254
5.32,47.12,54045,0
40.78,47.11,0,-11763
48.23,48.23,0,-28620
50.5,50.5,0,-48901
41.84,48.23,21180,0
139.66,139.66,0,-51898
68.17,68.17,0,-56465
159.23,159.23,0,-106146
159.06,159.06,0,-153147
327.75,327.75,0,-96373
202.36,202.36,0,-53907
82.12,82.12,0,-56031
157.9,157.9,0,-91259
80.0,80.0,0,-69926
62.11,62.11,0,-52034
48.23,48.23,0,-13387
135.12,135.12,0,-76102
135.12,135.12,0,-54563
50.5,50.5,0,-41967
59.78,59.78,0,-66884
53.65,53.65,0,-27865
56.3,56.3,0,-44504
103.64,103.64,0,-60991
82.12,82.12,0,-68963
159.76,159.76,0,-75266
99.12,99.12,0,-54230
77.12,77.12,0,-42740
159.76,159.76,0,-73686
72.8,72.8,0,-34986
