"T";"Use SP-A";"Use SP-B";"Dispatch e-boiler";"CO2 emission";"Blow-off 20 bar";"H2 to market";"SynGas to market";"CF total";"CF Air Liquide";"CF Huntsman";"CF Nouryon";"CF Lyondell";"CF Shin Etsu";"Cogen to DA";"Cogen to U";"test actor attr"
1;0;0;0;26.400093;17.473051;45000;385.947662;19964.972656;6968.946289;9090.912109;5086.712891;-20;1842.609375;21.179998;0;10.841471
2;0;0;0;26.400093;17.473051;45000;385.947662;19788.539063;6986.47168;9090.912109;5086.550781;-20;1842.611328;21.179998;0;10.909297
3;0;0;0;26.400093;17.473051;45000;385.947662;19809.222656;7003.99707;9090.912109;5345.013184;-20;1842.613281;21.179998;0;10.14112
4;0;0;0;26.400093;17.473051;45000;385.947662;19816.726563;7021.522461;9090.912109;5086.226563;-20;1842.615234;21.179998;0;9.243197
5;0;0;0;26.400093;17.473051;45000;385.947662;19847.484375;7039.047852;9090.912109;5795.461914;-20;1842.617188;21.179998;0;9.041076
6;0;0;0;26.400093;17.473051;45000;385.947662;20035.441406;7056.573242;9090.912109;5085.902832;-20;1842.619141;21.179998;0;9.720585
7;0;0;0;26.400093;17.473051;45000;385.947662;20049.535156;7074.098633;9090.912109;5085.740723;-20;1842.621216;21.179998;0;10.656986
8;0;0;0;26.400093;17.473051;45000;385.947662;19873.099609;7091.623535;9090.912109;5085.578613;-20;1842.623169;21.179998;0;10.989358
9;0;0;0;26.400093;17.473051;45000;385.947662;19887.195313;7109.149414;9090.912109;5085.416504;-20;1842.625122;21.179998;0;10.412119
10;0;0;0;26.400093;17.473051;45000;385.947662;19952.017578;7126.674805;9090.912109;5745.003418;-20;1842.627075;21.179998;0;9.455979
11;0;0;0;26.400093;17.473051;45000;385.947662;19915.380859;7144.200195;9090.912109;5085.092285;-20;1842.629028;21.179998;0;9.00001
12;0;0;0;26.400093;17.473051;45000;385.947662;19929.474609;7161.725586;9090.912109;5084.930664;-20;1842.631104;21.179998;0;9.463428
13;0;0;0;26.400093;17.473051;45000;385.947662;19952.566406;7179.250488;9090.912109;5431.058594;-20;1842.633057;21.179998;0;10.420167
14;0;0;0;26.400093;17.473051;45000;385.947662;19975.75;7196.776367;9090.912109;5801.784668;-20;1842.63501;21.179998;0;10.990607
15;0;0;0;26.400093;17.473051;45000;385.947662;19971.755859;7214.301758;9090.912109;5084.444336;-20;1842.636963;21.179998;0;10.650288
16;0;0;0;26.400093;17.473051;45000;385.947662;19985.849609;7231.827148;9090.912109;5084.282227;-20;1842.638916;21.179998;0;9.712096
17;0;0;0;26.400093;17.473051;45000;385.947662;19999.943359;7249.352051;9090.912109;5084.120605;-20;1842.640869;21.179998;0;9.038603
18;0;0;0;26.400093;17.473051;45000;385.947662;20014.037109;7266.877441;9090.912109;5083.958008;-20;1842.642822;21.179998;0;9.249013
19;0;0;0;26.400093;17.473051;45000;385.947662;20028.130859;7284.40332;9090.912109;5083.795898;-20;1842.644897;21.179998;0;10.149878
20;0;0;0;26.400093;17.473051;45000;385.947662;20042.224609;7301.928223;9090.912109;5083.633789;-20;1842.646851;21.179998;0;10.912945
21;0;0;0;26.400093;17.473051;45000;385.947662;20056.318359;7319.453613;9090.912109;5083.47168;-20;1842.648804;21.179998;0;10.836656
22;0;0;0;26.400093;17.473051;45000;385.947662;20260.939453;7336.979004;9090.912109;5083.30957;-20;1842.650757;21.179998;0;9.991149
23;0;0;0;26.400093;17.473051;45000;385.947662;20084.505859;7354.504395;9090.912109;5083.147461;-20;1842.65271;21.179998;0;9.15378
24;0;0;0;26.400093;17.473051;45000;385.947662;20289.126953;7372.029785;9090.912109;5082.985352;-20;1842.654663;21.179998;0;9.094421
25;0;0;0;26.400093;17.473051;45000;385.947662;20132.046875;7389.555176;9090.912109;5617.648926;-20;1842.656738;21.179998;0;9.867648
26;0;0;0;26.400093;17.473051;45000;385.947662;20121.640625;7407.080566;9090.912109;4764.363281;-20;1842.658691;21.179998;0;10.762558
27;0;0;0;26.400093;17.473051;45000;385.947662;19727.820313;7424.605957;9090.912109;4410.150391;-20;1842.660645;21.179998;0;10.956376
28;0;0;0;26.400093;17.473051;45000;385.947662;19742.195313;7442.131348;9090.912109;4410.012207;-20;1842.662598;21.179998;0;10.270905
29;0;0;0;26.400093;17.473051;45000;385.947662;19756.572266;7459.656738;9090.912109;4409.873535;-20;1842.664551;21.179998;0;9.336366
30;0;0;0;26.400093;17.473051;45000;385.947662;19961.476563;7477.182129;9090.912109;4409.735352;-20;1842.666504;21.179998;0;9.011969
